Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover,No. of Trades  
KAYNES,EQ,05-Apr-24,"2,686.05","2,659.00","2,717.00","2,634.95","2,645.00","2,647.30","2,667.68","1,54,888","41,31,91,452.55","17,032"
KAYNES,EQ,04-Apr-24,"2,707.75","2,710.00","2,750.55","2,672.00","2,688.00","2,686.05","2,697.44","1,65,947","44,76,32,120.45","14,932"
KAYNES,EQ,03-Apr-24,"2,779.80","2,779.80","2,790.00","2,690.00","2,724.95","2,707.75","2,737.13","1,02,329","28,00,87,748.60","13,001"
KAYNES,EQ,02-Apr-24,"2,788.15","2,820.00","2,838.65","2,768.65","2,776.10","2,779.80","2,785.84","2,04,316","56,91,91,119.85","9,258"
KAYNES,EQ,01-Apr-24,"2,871.95","2,850.00","2,869.95","2,768.85","2,788.00","2,788.15","2,814.97","1,27,724","35,95,38,826.45","25,224"
KAYNES,EQ,28-Mar-24,"2,787.35","2,791.00","2,900.00","2,791.00","2,875.00","2,871.95","2,842.62","2,27,809","64,75,74,836.40","24,854"
KAYNES,EQ,27-Mar-24,"2,819.60","2,844.00","2,848.40","2,770.05","2,790.00","2,787.35","2,798.85","1,25,044","34,99,79,248.50","10,230"
KAYNES,EQ,26-Mar-24,"2,798.95","2,820.00","2,850.00","2,723.25","2,791.50","2,819.60","2,811.18","1,74,442","49,03,87,914.90","24,138"
KAYNES,EQ,22-Mar-24,"2,712.20","2,695.00","2,814.00","2,675.30","2,795.00","2,798.95","2,736.13","2,08,195","56,96,49,030.80","22,237"
KAYNES,EQ,21-Mar-24,"2,589.45","2,605.00","2,725.00","2,592.50","2,701.60","2,712.20","2,627.13","3,93,059","1,03,26,17,343.60","21,591"
KAYNES,EQ,20-Mar-24,"2,613.05","2,620.05","2,650.00","2,556.50","2,584.10","2,589.45","2,593.78","1,47,345","38,21,80,547.60","14,776"
KAYNES,EQ,19-Mar-24,"2,602.85","2,600.00","2,661.25","2,588.00","2,620.00","2,613.05","2,611.74","2,45,464","64,10,89,130.50","15,702"
KAYNES,EQ,18-Mar-24,"2,666.60","2,625.50","2,698.00","2,583.00","2,598.80","2,602.85","2,615.95","2,58,853","67,71,47,259.45","31,076"
KAYNES,EQ,15-Mar-24,"2,721.40","2,675.15","2,749.90","2,565.10","2,650.00","2,666.60","2,663.35","14,76,728","3,93,30,47,478.10","95,249"
KAYNES,EQ,14-Mar-24,"2,784.05","2,700.00","2,785.00","2,683.95","2,725.00","2,721.40","2,742.58","2,47,782","67,95,62,166.40","36,311"
KAYNES,EQ,13-Mar-24,"2,852.35","2,839.00","2,839.00","2,566.90","2,753.00","2,784.05","2,713.78","5,70,802","1,54,90,32,641.55","67,550"
KAYNES,EQ,12-Mar-24,"3,032.05","3,031.05","3,031.05","2,766.35","2,815.00","2,852.35","2,842.07","4,59,065","1,30,46,95,499.60","79,391"
KAYNES,EQ,11-Mar-24,"3,112.75","3,115.00","3,118.95","2,984.20","3,003.00","3,032.05","3,024.58","2,82,637","85,48,58,131.35","36,402"
KAYNES,EQ,07-Mar-24,"3,085.30","3,098.90","3,142.60","3,052.30","3,110.00","3,112.75","3,104.92","1,45,733","45,24,88,853.55","21,792"
KAYNES,EQ,06-Mar-24,"3,215.00","3,238.00","3,238.00","2,905.65","3,050.00","3,085.30","3,042.68","4,73,534","1,44,08,10,441.15","65,779"
